individual,Taylor_samples_filtered.vcf.gz,corresponding_ID_fullset_pruned_GSword_Zea,fullset_pruned_GSword_Zea.vcf.gz_callset2,species,admixed,sample_rgion,sample_label_CYP337B3_geneTree,Source_lead_author,source_DOI_html,fullset_SNPs_filtered.vcf.gz_callset1,c15_phylo_CYP337B3.vcf
Tillard_33H,N,Tillard_33H,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_34H,N,Tillard_34H,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_3,N,Tillard_3,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_4,N,Tillard_4,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_5,N,Tillard_5,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
WA_10,N,WA_10,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_11,N,WA_11,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_12,N,WA_12,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_13,N,WA_13,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_15,N,WA_15,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_16,N,WA_16,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_17,N,WA_17,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_18,N,WA_18,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_19,N,WA_19,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_1,N,WA_1,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_20,N,WA_20,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_21,N,WA_21,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_22,N,WA_22,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_2,N,WA_2,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_3,N,WA_3,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_4,N,WA_4,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_5,N,WA_5,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_6,N,WA_6,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_7,N,WA_7,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_8,N,WA_8,Y,zea_WA,N,WA_2019,NA,this paper,NA,Y,N
WA_9,N,WA_9,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_10,N,WB_10,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_11,N,WB_11,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_12,N,WB_12,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_13,N,WB_13,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_14,N,WB_14,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_15,N,WB_15,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_17,N,WB_17,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_19,N,WB_19,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_1,N,WB_1,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_20,N,WB_20,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_22,N,WB_22,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_24,N,WB_24,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_26,N,WB_26,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_3,N,WB_3,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_4,N,WB_4,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_5,N,WB_5,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_6,N,WB_6,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_7,N,WB_7,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_8,N,WB_8,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
WB_9,N,WB_9,Y,zea_WB,N,WB_2019,NA,this paper,NA,Y,N
BW0030,N,BW0030,N,armigera,NA,south_asia,H. armigera (South Asia),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
FR0001,N,FR0001,N,armigera,NA,europe,H. armigera (Europe),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
FR0002,N,FR0002,N,armigera,NA,europe,H. armigera (Europe),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
IC0012,N,IC0012,N,armigera,NA,south_asia,H. armigera (South Asia),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
KEL2,N,KEL2,N,armigera,NA,Xinjiang,H. armigera (Xinjiang),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
KEL41,N,KEL41,N,armigera,NA,Xinjiang,H. armigera (Xinjiang),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
QL1797,N,QL1797,N,armigera,NA,oceanea,H. armigera (Oceania),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
SA0001,N,SA0001,N,armigera,NA,africa,H. armigera (Africa),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
SN0045,N,SN0045,N,armigera,NA,africa,H. armigera (Africa),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
WA0002,N,WA0002,N,armigera,NA,oceanea,H. armigera (Oceania),Jin,https://doi.org/10.1016/j.xinn.2023.100454,N,Y
SRR15526515,Y,SRR15526515,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853131,N,N
SRR15526516,Y,SRR15526516,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853132,N,N
SRR15526517,Y,SRR15526517,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853133,N,N
SRR15526518,Y,SRR15526518,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853134,N,N
SRR15526519,Y,SRR15526519,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853135,N,N
SRR15526520,Y,SRR15526520,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853136,N,N
SRR15526521,Y,SRR15526521,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853137,N,N
SRR15526522,Y,SRR15526522,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853138,N,N
SRR15526523,Y,SRR15526523,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853139,N,N
SRR15526524,Y,SRR15526524,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853140,N,N
SRR15526525,Y,SRR15526525,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853141,N,N
SRR15526526,Y,SRR15526526,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853142,N,N
SRR15526527,Y,SRR15526527,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853143,N,N
SRR15526528,Y,SRR15526528,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853144,N,N
SRR15526529,Y,SRR15526529,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853145,N,N
SRR15526530,Y,SRR15526530,N,zea_2017_MD,N,MD_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853146,N,N
SRR15465881,Y,SRR15465881,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853147,N,N
SRR15465882,Y,SRR15465882,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853148,N,N
SRR15465883,Y,SRR15465883,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853149,N,N
SRR15465884,Y,SRR15465884,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853150,N,N
SRR15465885,Y,SRR15465885,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853151,N,N
SRR15465886,Y,SRR15465886,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853152,N,N
SRR15465887,Y,SRR15465887,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853153,N,N
SRR15465888,Y,SRR15465888,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853154,N,N
SRR15465889,Y,SRR15465889,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853155,N,N
SRR15465890,Y,SRR15465890,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853156,N,N
SRR15465891,Y,SRR15465891,N,zea_2017_LA,N,LA_2017,NA,Taylor,https://doi.org/10.1073/pnas.2020853157,N,N
SRR15351348,Y,SRR15351348,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853158,N,N
SRR15351349,Y,SRR15351349,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853159,N,N
SRR15351350,Y,SRR15351350,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853160,N,N
SRR15351351,Y,SRR15351351,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853161,N,N
SRR15351352,Y,SRR15351352,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853162,N,N
SRR15351353,Y,SRR15351353,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853163,N,N
SRR15351354,Y,SRR15351354,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853164,N,N
SRR15351355,Y,SRR15351355,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853165,N,N
SRR15351356,Y,SRR15351356,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853166,N,N
SRR15351357,Y,SRR15351357,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853167,N,N
SRR15351358,Y,SRR15351358,N,zea_2012_LA,N,LA_2012,NA,Taylor,https://doi.org/10.1073/pnas.2020853168,N,N
FMM1.2,N,FMM1.2,Y,armigera,NA,europe,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
FMM1.4,N,FMM1.4,Y,armigera,NA,europe,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
HM0002,N,HM0002,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
HM0003,N,HM0003,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
HM0004,N,HM0004,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0001,N,M0001,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0086,N,M0086,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0118,N,M0118,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0163,N,M0163,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0237,N,M0237,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0243,N,M0243,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0250,N,M0250,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0251,N,M0251,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0254,N,M0254,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0260,N,M0260,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0261,N,M0261,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0270,N,M0270,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0272,N,M0272,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0273,N,M0273,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0276,N,M0276,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
M0299,N,M0299,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,N,N
